url,platform,performance_score,first_contentful_paint,speed_index,largest_contentful_paint,interactive,total_blocking_time,cumulative_layout_shift
https://www.elitepropertiesny.com/we-buy/,Non-Carrot,0.0,,,,,,
https://www.sellmyhousefast.com/we-buy-houses-new-york/,Non-Carrot,0.0,,,,,,
https://savannahpropertiesnj.com/we-buy-houses-lakewood-nj/,Non-Carrot,0.0,,,,,,
https://www.youtube.com/watch?v=VTqSq73qCmo,Non-Carrot,0.0,,,,,,
https://sellfastjersey.com/jersey-city/,Non-Carrot,0.0,,,,,,
https://www.homevestors.com/new-york/,Non-Carrot,0.0,,,,,,
https://www.webuyuglyhouses.com/new-york/,Non-Carrot,0.0,,,,,,
https://www.housebuyernetwork.com/house-buyers-white-plains-new-york/,Non-Carrot,0.0,,,,,,
https://www.houzeo.com/blog/companies-that-buy-houses-for-cash-in-new-york/,Non-Carrot,92.0,2705.702,2705.702,2705.702,2848.043,9.0,0.008
https://simplysoldre.com/locations/new-jersey/newark/,Non-Carrot,90.0,1313.002,1382.115,3526.006,1549.402,69.5,0.0
https://www.movoto.com/sell/lakewood-nj/,Non-Carrot,74.0,2159.029,2292.076,2609.032,9916.013,879.5,0.01
https://savannahpropertiesnj.com/we-buy-houses-newark-nj/,Non-Carrot,52.0,3162.921,3162.921,7117.041,9074.14,544.5,0.121
https://maxouthomes.com/westchester-county/sell-my-home-for-cash-east-white-plains/,Non-Carrot,44.0,1386.002,7471.71,24921.05,19925.54,1129.0,0.0
https://www.homelight.com/lakewood-nj/sell-house-fast,Non-Carrot,18.0,3650.71,4991.678,6660.538,8966.143,1333.0,0.808
https://highestcashoffer.com/new-jersey/lakewood-nj/,Non-Carrot,35.0,4299.936,4404.212,5251.067,14528.406,1864.154,0.17
https://www.houzeo.com/blog/how-to-sell-my-house-fast-new-york/,Non-Carrot,62.0,1683.707,8773.934,2734.707,1866.211,121.304,1.006
https://www.housebuyernetwork.com/house-buyers-jersey-city-new-jersey/,Non-Carrot,33.0,3755.507,6134.116,8018.519,13560.227,3324.256,0.0
https://www.housebuyernetwork.com/house-buyers-newark-new-jersey/,Non-Carrot,53.0,2584.814,4547.205,3034.897,12946.291,3751.5,0.142
https://www.homelight.com/jersey-city-nj/sell-house-fast,Non-Carrot,15.0,3973.71,4970.578,6952.538,9311.044,1633.0,0.808
https://simplysoldre.com/locations/new-york/white-plains/,Non-Carrot,87.0,1304.006,1304.006,3976.024,1511.156,51.5,0.0
https://www.sellmyhousefast.com/we-buy-houses-newark-new-jersey/,Non-Carrot,41.0,2588.315,5151.927,3676.11,13193.596,3821.5,0.238
https://www.sellmyhousefast.com/we-buy-houses-jersey-city-new-jersey/,Non-Carrot,46.0,2561.302,5781.902,3676.033,13227.219,3519.204,0.141
https://asapcashhomebuyers.com/new-york/white-plains/,Non-Carrot,40.0,2555.718,6337.454,5701.071,29225.079,8579.496,0.022
https://www.sellmyhousefast.com/we-buy-houses-white-plains-new-york/,Non-Carrot,52.0,2560.301,5715.115,3601.028,13982.919,4311.204,0.019
https://newyorkhomesforcash.com/,Non-Carrot,27.0,3872.015,8593.443,10951.045,13785.325,2960.5,0.108
https://www.housebuyernetwork.com/house-buyers-new-brunswick-new-jersey/,Non-Carrot,33.0,3693.508,6452.361,8050.521,13582.451,3340.0,0.0
https://asapcashhomebuyers.com/new-jersey/jersey-city/,Non-Carrot,38.0,2584.729,7092.681,5851.089,30763.928,10844.996,0.022
https://stewardshipproperties.com/new-jersey/jersey-city/,Non-Carrot,31.0,4056.21,7137.909,8101.11,22555.324,4652.0,0.0
https://www.homelight.com/white-plains-ny/sell-house-fast,Non-Carrot,19.0,3941.708,5476.823,7571.025,8995.027,899.0,0.808
https://housecashin.com/nj/newark/,Non-Carrot,17.0,2763.712,6954.19,14387.164,16357.885,3896.5,0.364
https://www.sellmyhousefast.com/we-buy-houses-new-brunswick-new-jersey/,Non-Carrot,45.0,2588.303,5943.666,3751.043,14893.147,5154.0,0.141
https://dealmakerproperties.com/sell-my-house-fast-new-brunswick-nj/,Non-Carrot,30.0,3193.041,7568.037,7351.101,22890.832,4501.662,0.1
https://www.biggerequity.com/new-york/white-plains/,Non-Carrot,34.0,3305.251,7171.771,11145.073,21593.985,2221.5,0.0
https://brotherlyloveproperties.com/sell-my-house-fast-anaheim-ca/,Non-Carrot,70.0,2676.212,3580.101,13984.191,6035.221,35.0,0.003
https://flipsplit.com/location-anaheim/,Non-Carrot,42.0,2851.206,5027.899,17552.39,11379.555,1283.0,0.003
https://leavethekey.com/ny/,Non-Carrot,31.0,2852.027,13513.668,8026.076,64298.784,18925.011,0.033
https://www.800cashtoday.com/property/california/anaheim,Non-Carrot,40.0,3938.923,4676.884,9069.802,15117.313,1330.248,0.002
https://socalhomebuyers.com/los-angeles/sell-my-house-fast-arcadia-ca/,Non-Carrot,97.0,1651.0,1651.0,2402.0,1795.55,53.0,0.018
https://www.sellersadvantage.com/ca/sell-my-house-fast-arcadia/,Non-Carrot,97.0,1951.0,1951.0,2176.0,2247.0,40.5,0.0
https://www.homelight.com/blog/we-buy-houses-anaheim/,Non-Carrot,71.0,4513.006,4513.006,4813.006,4513.006,0.0,0.008
https://johnmedinabuyshouses.com/we-buy-houses-in-anaheim-ca-2-2/,Non-Carrot,52.0,2123.203,2378.573,7190.302,8601.938,1027.649,0.0
https://prospectgroup.net/sell-my-house-fast-anaheim/,Non-Carrot,50.0,4569.016,5200.553,5401.02,14087.599,697.487,0.015
https://socalhomebuyers.com/los-angeles/sell-my-house-fast-burbank-ca/,Non-Carrot,97.0,1651.0,1651.0,2402.0,1664.75,0.0,0.018
https://www.homelight.com/arcadia-ca/sell-house-fast,Non-Carrot,13.0,5665.027,6181.193,6758.031,8983.785,1307.5,0.808
https://www.getcreativeoffers.com/sell-my-house-fast-anaheim-ca,Non-Carrot,42.0,3913.686,4730.507,5649.023,15586.061,1597.0,0.022
https://www.sellmyhousefast.com/we-buy-houses-anaheim-california/,Non-Carrot,53.0,2588.305,4692.06,3601.041,12085.614,3683.203,0.067
https://www.njbestpropertysolutions.com/,Non-Carrot,81.0,3597.228,3597.228,3748.241,4012.963,1.5,0.0
https://jampropertiesca.com/arcadia-ca/,Non-Carrot,36.0,3907.076,6358.147,5559.111,21337.754,4443.596,0.0
https://www.homelight.com/burbank-ca/sell-house-fast,Non-Carrot,17.0,3835.706,4944.037,6712.535,9194.888,1283.249,0.808
https://osbornehomes.com/we-buy-houses/california/los-angeles-county/arcadia/,Non-Carrot,33.0,6001.165,7204.686,6901.191,21077.56,1833.0,0.031
https://stewardshipproperties.com/california/burbank/,Non-Carrot,35.0,4064.71,6030.943,7501.094,19730.837,2178.218,0.0
https://nationalcashoffer.com/burbank-ca/,Non-Carrot,0.0,,,,,,
https://socalhomebuyers.com/los-angeles/carson/,Non-Carrot,97.0,1651.0,1651.0,2402.0,1667.75,0.0,0.018
https://www.housebuyernetwork.com/house-buyers-burbank-california/,Non-Carrot,29.0,3798.506,5958.685,8072.517,13301.871,2595.0,0.142
https://www.sellmyhousefast.com/we-buy-houses-burbank-california/,Non-Carrot,51.0,2559.307,5104.705,3751.056,14218.872,4487.904,0.067
https://priorityhomebuyers.com/sell-my-house-fast-burbank-california/,Non-Carrot,55.0,3102.0,3472.718,5176.0,6008.0,843.5,0.0
https://housecashin.com/ca/arcadia/,Non-Carrot,17.0,2913.71,6497.643,14926.16,17187.906,3978.996,0.35
https://prospectgroup.net/sell-my-house-fast-burbank/,Non-Carrot,43.0,5251.032,5486.66,7801.048,15045.132,752.5,0.054
https://www.sellmyhousefast.com/we-buy-houses-carson-california/,Non-Carrot,42.0,2559.301,5080.014,3601.02,12241.665,2591.703,0.238
https://www.sellersadvantage.com/ca/costa-mesa/,Non-Carrot,94.0,2101.0,2101.0,2101.0,2101.0,0.0,0.111
https://www.homego.com/sell-your-home/carson-ca/,Non-Carrot,54.0,1201.007,1319.049,8701.067,9039.906,985.5,0.025
https://www.housebuyernetwork.com/house-buyers-carson-california/,Non-Carrot,34.0,3716.008,5648.036,8187.02,13462.472,3141.507,0.0
https://socalhomebuyers.com/orange-county/,Non-Carrot,98.0,1651.0,1651.0,2102.0,1753.3,4.5,0.0
https://losangelescashhomebuyers.com/we-buy-houses-burbank-ca/,Non-Carrot,20.0,3244.065,4938.019,8177.181,16220.44,1355.5,0.491
https://prospectgroup.net/sell-my-house-fast-carson/,Non-Carrot,48.0,4549.022,5408.709,5251.026,13685.611,796.989,0.049
https://havenhomebuyers.com/orange-county/sell-my-house-fast-costa-mesa,Non-Carrot,68.0,1999.054,4285.487,2342.237,11151.434,1531.223,0.007
https://www.homelight.com/costa-mesa-ca/sell-house-fast,Non-Carrot,16.0,3940.709,4849.614,6803.036,9357.89,1521.5,0.808
https://asapcashhomebuyers.com/california/costa-mesa/,Non-Carrot,42.0,2556.456,6238.377,5026.047,26828.694,6900.99,0.003
https://www.houzeo.com/blog/selling-a-house-as-is-in-fountain-valley-ca/,Non-Carrot,85.0,2739.329,2739.329,2739.329,2898.102,30.5,0.153
https://www.homego.com/sell-your-home/costa-mesa-ca/,Non-Carrot,47.0,1201.01,1759.882,8626.091,9309.93,2352.997,0.025
https://socalhomebuyers.com/orange-county/fountain-valley/,Non-Carrot,97.0,1801.0,1801.0,2102.0,1997.15,98.5,0.0
https://www.sellersadvantage.com/ca/sell-my-house-fast-fountain-valley/,Non-Carrot,94.0,1951.0,2164.054,2101.0,2333.35,43.0,0.111
https://www.800cashtoday.com/property/california/fountain-valley,Non-Carrot,37.0,3782.667,4575.112,8887.38,15290.416,2106.5,0.002
https://osbornehomes.com/we-buy-houses/california/los-angeles-county/carson/,Non-Carrot,28.0,5701.197,8411.516,8101.285,22305.612,3388.0,0.0
https://www.sellforcashfast.org/we-buy-houses-in-fountain-valley,Non-Carrot,38.0,3161.498,5248.373,5935.689,13304.421,1455.0,0.141
https://www.housebuyernetwork.com/house-buyers-gardena-california/,Non-Carrot,27.0,3911.016,6455.476,8217.039,13485.176,2730.0,0.142
https://osbornehomes.com/we-buy-houses/california/orange-county/costa-mesa/,Non-Carrot,29.0,5851.085,8117.34,7276.107,24624.293,3442.0,0.031
https://sdhouseguys.com/sell-my-house-fast-glendale/,Non-Carrot,84.0,2170.513,2170.513,4195.506,2170.513,0.0,0.0
https://osbornehomes.com/we-buy-houses/california/orange-county/fountain-valley/,Non-Carrot,32.0,5851.105,6965.817,7051.128,21344.718,2157.5,0.027
https://www.sellmyhousefast.com/we-buy-houses-costa-mesa-california/,Non-Carrot,49.0,2589.301,8462.554,3527.046,23140.308,8041.5,0.019
